year;day;SC_in;SC_out
2012;1;0;1
2012;2;1;1
2012;3;7;7
2012;4;6;5
2012;5;1;1
2012;6;1;1
2012;9;0;1
2012;10;257;169
2012;11;216;217
2012;12;215;170
2012;13;218;219
2012;14;1;2
2012;15;3;1
2012;16;175;215
2012;17;225;205
2012;18;224;200
2012;19;179;209
2012;20;177;162
2012;21;3;1
2012;22;4;2
2012;23;191;183
2012;24;169;190
2012;25;209;202
2012;26;196;174
2012;27;151;203
2012;28;0;1
2012;29;1;1
2012;30;213;165
2012;31;210;204
2012;32;194;208
2012;33;235;214
2012;34;228;237
2012;37;247;245
2012;38;173;195
2012;39;194;197
2012;40;171;199
2012;41;141;133
2012;43;1;3
2012;44;172;175
2012;45;203;202
2012;46;191;200
2012;47;162;192
2012;48;188;170
2012;51;230;230
2012;52;189;194
2012;53;133;170
2012;55;169;154
2012;58;194;179
2012;59;198;179
2012;60;196;211
2012;61;212;206
2012;62;190;197
2012;64;0;2
2012;65;177;180
2012;66;168;171
2012;67;106;119
2012;68;2;1
2012;71;191;185
2012;72;160;159
2012;73;230;185
2012;74;173;182
2012;75;138;165
2012;76;172;174
2012;77;2;2
2012;79;171;191
2012;80;157;149
2012;81;135;134
2012;82;138;129
2012;83;194;177
2012;85;0;2
2012;86;183;165
2012;87;181;192
2012;88;149;152
2012;89;155;174
2012;90;157;177
2012;91;1;1
2012;93;185;184
2012;94;193;164
2012;95;195;210
2012;96;195;180
2012;97;199;183
2012;98;0;1
2012;100;201;163
2012;101;189;206
2012;102;172;177
2012;103;189;176
2012;104;165;157
2012;107;193;213
2012;108;195;156
2012;109;177;156
2012;110;171;181
2012;111;142;171
2012;112;2;1
2012;114;198;204
2012;115;151;163
2012;116;164;173
2012;117;140;159
2012;118;180;168
2012;119;147;147
2012;121;1;1
2012;122;0;1
2012;123;171;170
2012;124;162;159
2012;125;161;174
2012;126;116;132
2012;130;2;2
2012;131;107;116
2012;132;132;148
2012;133;118;97
2012;135;188;159
2012;136;144;160
2012;137;168;157
2012;138;142;156
2012;139;163;131
2012;141;2;1
2012;142;172;162
2012;143;198;179
2012;144;155;168
2012;145;200;188
2012;146;165;177
2012;149;202;181
2012;150;165;178
2012;151;171;179
2012;152;134;159
2012;153;131;130
2012;156;130;160
2012;157;202;155
2012;158;172;194
2012;159;162;158
2012;160;175;159
2012;161;89;120
2012;165;199;172
2012;166;160;155
2012;167;188;154
2012;170;177;166
2012;171;154;167
2012;172;160;167
2012;173;169;197
2012;174;153;175
2012;176;0;1
2012;177;204;182
2012;178;172;179
2012;179;186;182
2012;180;154;158
2012;181;169;200
2012;183;0;1
2012;184;201;183
2012;185;152;166
2012;186;179;176
2012;187;173;157
2012;188;148;159
2012;191;190;159
2012;192;158;161
2012;193;158;166
2012;194;136;156
2012;195;152;176
2012;198;179;142
2012;199;145;158
2012;200;138;149
2012;201;138;132
2012;202;155;165
2012;205;196;179
2012;206;181;177
2012;207;139;173
2012;208;137;146
2012;209;124;129
2012;210;0;1
2012;212;168;154
2012;213;207;175
2012;214;186;221
2012;215;183;181
2012;216;135;143
2012;217;0;1
2012;218;0;2
2012;219;199;176
2012;220;173;195
2012;221;166;164
2012;222;185;157
2012;223;152;186
2012;226;148;138
2012;227;196;144
2012;228;217;219
2012;229;160;179
2012;230;159;161
2012;233;185;173
2012;234;128;159
2012;235;175;156
2012;236;138;152
2012;237;155;150
2012;240;193;151
2012;241;151;163
2012;242;155;152
2012;243;116;150
2012;244;138;144
2012;247;177;167
2012;248;207;198
2012;249;222;168
2012;250;187;193
2012;251;172;187
2012;254;185;184
2012;255;144;161
2012;256;143;153
2012;257;169;142
2012;258;137;135
2012;261;177;177
2012;262;216;184
2012;263;128;149
2012;264;162;172
2012;265;152;146
2012;267;0;1
2012;268;204;183
2012;269;210;179
2012;270;160;191
2012;271;157;177
2012;272;168;148
2012;273;3;1
2012;275;211;199
2012;276;186;202
2012;277;211;168
2012;278;139;179
2012;279;139;182
2012;282;216;162
2012;283;185;180
2012;284;191;203
2012;285;162;180
2012;286;270;173
2012;289;235;248
2012;290;159;210
2012;291;158;152
2012;292;157;179
2012;293;156;150
2012;294;0;2
2012;296;162;172
2012;297;212;182
2012;298;206;196
2012;299;155;181
2012;300;161;196
2012;302;0;1
2012;303;192;181
2012;304;166;173
2012;305;182;170
2012;306;238;190
2012;307;173;199
2012;310;0;1
2012;311;224;236
2012;312;158;186
2012;313;206;211
2012;314;154;167
2012;317;157;174
2012;318;270;237
2012;319;214;221
2012;320;232;214
2012;321;242;205
2012;322;0;2
2012;324;199;228
2012;325;194;234
2012;326;199;176
2012;327;179;192
2012;328;184;162
2012;329;0;1
2012;331;187;186
2012;332;231;235
2012;333;187;212
2012;334;204;173
2012;335;174;203
2012;338;185;194
2012;339;202;198
2012;340;216;214
2012;341;208;199
2012;342;211;185
2012;345;158;172
2012;346;172;157
2012;347;190;184
2012;348;210;222
2012;349;193;192
2012;350;0;1
2012;352;197;209
2012;353;244;225
2012;354;211;184
2012;355;172;189
2012;356;189;174
2012;359;200;210
2012;360;240;226
2012;361;172;195
2012;362;212;213
2012;363;130;205
2012;364;59;87
2012;365;1;1
2012;366;0;5
2013;3;13;8
2013;4;5;5
2013;9;277;188
2013;10;224;228
2013;11;244;231
2013;14;283;234
2013;15;265;256
2013;16;243;241
2013;17;259;230
2013;18;235;265
2013;21;251;247
2013;22;282;293
2013;23;269;288
2013;24;247;240
2013;25;208;232
2013;28;190;200
2013;29;209;210
2013;30;239;195
2013;31;226;276
2013;32;170;177
2013;35;230;218
2013;36;230;229
2013;37;368;300
2013;38;281;285
2013;39;210;273
